sex,age,householdposition,householdsize,prevresidence,citizenship,countrybirth,edu,economicstate,curecoactivity,maritial,occupation
1,0,1131,112,1,1,1,5,111,135,1,2_1
2,1,1122,113,1,1,1,2,111,122,2,5_4_9
1,0,1122,113,1,1,1,2,111,122,2,2_1
1,1,1121,112,1,1,1,1,111,137,2,5_4_9
2,0,1110,114,1,1,1,2,111,138,1,5_4_9
2,0,1122,126,1,1,1,2,120,131,2,2_1
1,1,1122,114,1,1,1,5,111,135,2,2_1
2,1,1121,112,1,1,1,2,111,138,2,5_4_9
2,0,1122,114,1,1,1,5,111,135,2,2_1
1,1,1131,112,1,1,1,3,111,131,4,2_1
1,1,1122,114,1,1,1,3,111,136,2,2_1
2,0,1110,114,1,1,1,3,112,131,1,5_4_9
1,1,1122,114,1,1,1,5,111,137,2,2_1
2,0,1122,126,1,1,1,5,120,134,2,2_1
2,0,1110,113,1,1,1,2,111,135,1,5_4_9
2,0,1210,111,1,1,1,3,111,138,1,5_4_9
2,0,1132,113,1,1,1,2,120,131,1,2_1
1,0,1121,112,1,1,1,2,111,139,2,5_4_9
1,1,1122,114,1,1,1,3,111,131,2,5_4_9
2,0,1122,113,1,1,1,5,111,137,2,2_1
2,0,1122,113,1,1,1,3,111,133,2,5_4_9
1,0,1110,113,2,1,1,5,111,135,1,2_1
2,0,1210,111,1,1,1,5,111,139,1,2_1
2,0,1122,114,1,1,1,5,111,137,2,2_1
2,1,1122,114,1,1,1,4,120,135,2,2_1
1,0,1131,112,1,1,1,4,111,124,1,2_1
1,0,1132,113,1,1,1,2,111,122,1,5_4_9
1,1,1122,113,1,1,1,2,120,139,2,2_1
1,1,1121,112,1,1,1,5,120,138,2,2_1
1,0,1122,113,1,1,1,5,111,135,2,2_1
2,0,1121,112,1,1,1,5,111,138,2,2_1
2,0,1122,125,1,1,1,3,111,138,2,5_4_9
2,0,1110,114,1,1,1,3,111,131,1,5_4_9
2,0,1140,113,1,1,1,3,111,131,4,5_4_9
1,0,1122,113,1,1,1,4,120,111,2,2_1
2,1,1122,114,1,1,1,5,111,137,2,2_1
1,0,1132,113,1,1,1,3,111,124,1,2_1
2,0,1122,113,1,1,1,3,111,135,2,5_4_9
2,1,1122,113,1,1,1,2,111,131,2,5_4_9
2,0,1122,114,1,1,1,2,111,122,2,5_4_9
2,0,1122,114,1,1,1,3,120,135,2,5_4_9
1,0,1110,113,1,1,1,2,111,138,1,5_4_9
2,1,1140,112,1,1,1,5,111,136,4,2_1
2,0,1132,113,1,1,1,1,111,138,4,5_4_9
1,1,1122,114,1,1,1,3,120,111,2,2_1
1,0,1122,113,2,1,1,2,111,135,2,2_1
1,1,1122,114,1,1,1,5,111,138,2,2_1
2,0,1122,125,1,1,1,5,111,137,2,2_1
1,0,1132,114,1,1,1,3,111,135,1,2_1
