Race,Age,Sex,Native-Country,Marital-Status,Education,Occupation,Hours_Per_Week,Workclass,Relationship,Income
1,0.43333333333333335,1,1,0,0.8125,0,0.40404040404040403,0,1,0
1,0.5555555555555556,1,1,1,0.8125,0,0.13131313131313133,0,0,0
1,0.4222222222222222,1,1,0,0.5625,0,0.40404040404040403,1,1,0
0,0.5888888888888889,1,1,1,0.4375,0,0.40404040404040403,1,0,0
0,0.3111111111111111,0,0,1,0.8125,0,0.40404040404040403,1,0,0
1,0.4111111111111111,0,1,1,0.875,0,0.40404040404040403,1,0,0
0,0.5444444444444444,0,0,0,0.3125,0,0.16161616161616163,1,1,0
1,0.5777777777777777,1,1,1,0.5625,0,0.45454545454545453,0,0,1
1,0.34444444444444444,0,1,0,0.875,0,0.5050505050505051,1,1,1
1,0.4666666666666667,1,1,1,0.8125,0,0.40404040404040403,1,0,1
0,0.4111111111111111,1,1,1,0.625,0,0.8080808080808081,1,0,1
0,0.3333333333333333,1,0,1,0.8125,0,0.40404040404040403,0,0,1
1,0.25555555555555554,0,1,0,0.8125,0,0.30303030303030304,1,0,0
0,0.35555555555555557,1,1,0,0.75,0,0.5050505050505051,1,1,0
0,0.4444444444444444,1,0,1,0.6875,1,0.40404040404040403,1,0,1
0,0.37777777777777777,1,0,1,0.25,0,0.45454545454545453,1,0,0
1,0.2777777777777778,1,1,0,0.5625,0,0.35353535353535354,0,0,0
1,0.35555555555555557,1,1,0,0.5625,0,0.40404040404040403,1,0,0
1,0.4222222222222222,1,1,1,0.4375,0,0.5050505050505051,1,0,0
1,0.4777777777777778,0,1,0,0.875,0,0.45454545454545453,0,0,1
1,0.4444444444444444,1,1,1,1.0,0,0.6060606060606061,1,0,1
0,0.6,0,1,0,0.5625,0,0.20202020202020202,1,0,0
0,0.3888888888888889,1,1,1,0.3125,0,0.40404040404040403,0,0,0
1,0.4777777777777778,1,1,1,0.4375,0,0.40404040404040403,1,0,0
1,0.6555555555555556,0,1,0,0.5625,0,0.40404040404040403,1,0,0
1,0.6222222222222222,1,1,1,0.8125,0,0.40404040404040403,0,0,1
1,0.2111111111111111,1,1,0,0.5625,1,0.40404040404040403,1,0,0
0,0.6,1,0,1,0.625,0,0.6060606060606061,0,0,1
1,0.43333333333333335,1,1,0,0.5625,0,0.8080808080808081,1,1,0
1,0.5444444444444444,1,1,1,0.5625,1,0.40404040404040403,1,0,0
1,0.25555555555555554,1,1,0,0.75,0,0.5252525252525253,0,1,0
0,0.2222222222222222,1,1,0,0.625,0,0.4444444444444444,1,0,0
1,0.5,1,1,0,0.8125,0,0.40404040404040403,1,0,0
1,0.3333333333333333,1,1,1,0.625,0,0.40404040404040403,0,0,0
0,0.24444444444444444,1,1,1,0.625,0,0.15151515151515152,0,0,0
1,0.5333333333333333,1,0,0,0.4375,0,0.40404040404040403,1,0,0
1,0.23333333333333334,1,1,0,0.625,0,0.40404040404040403,1,0,0
1,0.2111111111111111,0,1,0,0.5625,0,0.25252525252525254,1,0,0
1,0.34444444444444444,1,0,1,0.625,0,0.3838383838383838,1,0,1
1,0.5333333333333333,1,1,1,0.75,0,0.40404040404040403,0,0,0
1,0.34444444444444444,1,1,1,0.3125,0,0.43434343434343436,1,0,0
1,0.5888888888888889,1,1,1,0.8125,0,0.40404040404040403,0,0,0
1,0.26666666666666666,1,1,1,0.8125,0,0.5050505050505051,1,0,0
1,0.5444444444444444,0,1,0,0.5625,0,0.40404040404040403,1,0,0
1,0.2777777777777778,1,1,0,0.5625,0,0.35353535353535354,1,1,0
0,0.6333333333333333,1,1,1,0.8125,0,0.40404040404040403,0,0,1
1,0.5888888888888889,1,1,1,0.5625,0,0.3838383838383838,1,0,0
1,0.4888888888888889,0,1,0,0.875,0,0.40404040404040403,1,0,0
1,0.45555555555555555,1,1,1,0.6875,1,0.40404040404040403,0,0,0
1,0.32222222222222224,1,1,0,0.6875,0,0.43434343434343436,1,1,0
0,0.2777777777777778,0,1,1,0.625,0,0.40404040404040403,1,0,0
1,0.2,0,0,0,0.5625,0,0.30303030303030304,1,0,0
1,0.5222222222222223,0,0,1,0.9375,0,0.6060606060606061,1,0,1
1,0.5555555555555556,1,1,0,0.8125,0,0.5555555555555556,0,1,1
1,0.5222222222222223,1,1,0,0.5625,0,0.6060606060606061,0,1,0
1,0.4777777777777778,1,1,1,0.625,0,0.40404040404040403,1,0,1
1,0.5111111111111111,1,0,1,0.1875,0,0.40404040404040403,1,0,0
1,0.3888888888888889,1,0,1,0.6875,0,0.40404040404040403,1,0,0
1,0.45555555555555555,1,1,1,0.5625,0,0.48484848484848486,1,0,0
1,0.3333333333333333,1,1,1,0.5625,0,0.40404040404040403,1,0,0
1,0.3333333333333333,1,1,1,0.8125,0,0.40404040404040403,1,0,0
1,0.35555555555555557,1,0,0,0.25,0,0.40404040404040403,0,1,0
1,0.5333333333333333,1,1,1,0.5625,0,0.40404040404040403,1,0,0
1,0.4666666666666667,1,1,1,1.0,0,0.45454545454545453,1,0,1
1,0.32222222222222224,1,1,0,0.625,0,0.5858585858585859,1,1,0
1,0.4,1,1,1,0.5625,1,0.40404040404040403,1,0,0
1,0.3111111111111111,0,1,0,0.625,0,0.40404040404040403,1,1,0
1,0.5888888888888889,0,1,1,0.5625,0,0.40404040404040403,1,0,1
1,0.5444444444444444,1,1,1,0.625,0,0.5050505050505051,0,0,1
1,0.2777777777777778,1,1,0,0.625,0,0.40404040404040403,0,0,0
1,0.2111111111111111,1,1,0,0.625,0,0.32323232323232326,1,0,0
0,0.34444444444444444,0,1,0,0.8125,0,0.40404040404040403,1,0,0
1,0.32222222222222224,1,1,1,0.8125,0,0.7070707070707071,0,0,1
1,0.25555555555555554,1,1,0,0.625,0,0.40404040404040403,1,1,0
1,0.8777777777777778,1,1,1,0.625,0,0.20202020202020202,1,0,0
1,0.3,1,0,0,0.5625,0,0.40404040404040403,1,0,0
1,0.4444444444444444,1,1,1,0.75,0,0.40404040404040403,1,0,0
1,0.7444444444444445,1,1,1,0.375,0,0.020202020202020204,0,0,0
1,0.2,0,1,0,0.4375,0,0.2222222222222222,1,0,0
1,0.34444444444444444,1,1,1,0.25,0,0.40404040404040403,0,0,0
1,0.2,1,1,0,0.5625,0,0.30303030303030304,1,1,0
1,0.5777777777777777,1,0,1,0.8125,0,0.40404040404040403,1,0,0
1,0.5111111111111111,0,1,1,0.5625,0,0.40404040404040403,1,0,0
1,0.6555555555555556,1,1,1,0.5625,0,0.48484848484848486,1,0,0
1,0.4888888888888889,0,1,0,0.5625,1,0.40404040404040403,1,1,1
1,0.5888888888888889,0,1,0,0.5625,0,0.35353535353535354,1,0,0
1,0.5444444444444444,1,1,1,0.5625,0,0.40404040404040403,0,0,1
1,0.36666666666666664,1,1,1,0.875,0,0.5050505050505051,1,0,0
1,0.3333333333333333,1,1,0,0.3125,0,0.40404040404040403,1,1,0
1,0.4777777777777778,0,1,0,1.0,0,0.5050505050505051,0,1,1
1,0.6333333333333333,1,1,1,0.6875,0,0.40404040404040403,1,0,0
1,0.4111111111111111,0,1,0,0.625,1,0.40404040404040403,1,0,0
0,0.3111111111111111,0,1,0,0.625,0,0.25252525252525254,1,0,0
0,0.3333333333333333,0,0,1,0.5625,0,0.35353535353535354,1,0,0
1,0.37777777777777777,1,1,1,0.8125,0,0.40404040404040403,0,0,1
1,0.32222222222222224,1,1,0,0.625,0,0.5050505050505051,0,1,0
1,0.5333333333333333,1,1,1,1.0,0,0.6060606060606061,0,0,1
1,0.4111111111111111,1,1,1,0.625,0,0.48484848484848486,1,0,1
1,0.5333333333333333,0,0,0,0.75,0,0.40404040404040403,1,0,0
0,0.35555555555555557,1,1,0,0.5625,0,0.40404040404040403,0,0,0
1,0.8444444444444444,1,1,1,0.875,0,0.40404040404040403,1,0,1
1,0.4888888888888889,1,1,1,0.8125,0,0.6060606060606061,1,0,1
1,0.5222222222222223,0,1,0,0.875,0,0.5050505050505051,0,1,0
1,0.2222222222222222,0,1,0,0.625,0,0.40404040404040403,1,0,0
1,0.32222222222222224,1,1,0,0.5625,1,0.40404040404040403,1,1,0
1,0.35555555555555557,1,1,1,0.5625,1,0.40404040404040403,0,0,1
1,0.18888888888888888,0,1,0,0.375,0,0.32323232323232326,0,0,0
1,0.3333333333333333,1,1,0,0.4375,0,0.40404040404040403,1,0,0
1,0.34444444444444444,0,1,0,0.5625,0,0.40404040404040403,0,1,0
1,0.4666666666666667,1,1,1,0.5625,0,0.40404040404040403,1,0,0
1,0.26666666666666666,1,1,0,0.8125,0,0.40404040404040403,1,0,0
1,0.4222222222222222,1,1,1,0.9375,0,0.40404040404040403,1,0,1
1,0.6222222222222222,1,0,1,0.5625,0,0.5050505050505051,0,0,1
1,0.3111111111111111,0,1,1,0.625,0,0.25252525252525254,1,0,0
1,0.4,0,1,0,0.5625,0,0.40404040404040403,1,0,0
1,0.5888888888888889,1,1,1,0.3125,0,0.5050505050505051,1,0,0
